image_id,group,spot_count,mean_intensity,total_intensity,intensity_variance,area_covered_px,area_covered_ratio,density_spots_per_px,density_spots_per_10k_px,spot_area_mean,spot_area_std,spot_area_median,spot_area_q25,spot_area_q75,small_spot_fraction,medium_spot_fraction,large_spot_fraction,class_name,compound,concentration,batch_name
image_10332,Microtubule stabilizers,28,19.5997314453125,1284488.0,1451.4360985606909,7212,0.11004638671875,0.00042724609375,4.2724609375,223.07142639160156,186.80259704589844,151.75,89.125,316.875,0.0,0.32142857142857145,0.6785714285714286,Microtubule stabilizers,epothilone B,1.0,Week1_22361
image_10333,Microtubule stabilizers,25,17.699050903320312,1159925.0,1364.0662747339811,6422,0.097991943359375,0.0003814697265625,3.814697265625,221.97999572753906,180.11143493652344,146.0,124.0,226.5,0.0,0.16,0.84,Microtubule stabilizers,epothilone B,1.0,Week1_22361
image_10334,Microtubule stabilizers,19,16.054107666015625,1052122.0,1268.1520711397752,5828,0.08892822265625,0.0002899169921875,2.899169921875,266.2105407714844,200.59112548828125,160.0,109.25,428.25,0.0,0.2631578947368421,0.7368421052631579,Microtubule stabilizers,epothilone B,1.0,Week1_22361
image_10335,Microtubule stabilizers,22,17.660659790039062,1157409.0,1392.1880556193646,6833,0.1042633056640625,0.000335693359375,3.35693359375,273.6136474609375,163.51376342773438,251.25,133.75,384.875,0.045454545454545456,0.13636363636363635,0.8181818181818182,Microtubule stabilizers,epothilone B,1.0,Week1_22361
image_10336,Microtubule stabilizers,24,20.942977905273438,1372519.0,1666.5626206730958,8577,0.1308746337890625,0.0003662109375,3.662109375,316.8541564941406,306.36865234375,214.75,105.25,335.875,0.041666666666666664,0.125,0.8333333333333334,Microtubule stabilizers,epothilone B,1.0,Week1_22381
image_10337,Microtubule stabilizers,28,19.581893920898438,1283319.0,1494.704749684548,7746,0.118194580078125,0.00042724609375,4.2724609375,239.67857360839844,173.38442993164062,170.0,88.375,407.875,0.10714285714285714,0.17857142857142858,0.7142857142857143,Microtubule stabilizers,epothilone B,1.0,Week1_22381
image_10338,Microtubule stabilizers,22,18.191299438476562,1192185.0,1474.0195110922214,7462,0.113861083984375,0.000335693359375,3.35693359375,297.18182373046875,251.95455932617188,211.0,143.125,425.5,0.045454545454545456,0.18181818181818182,0.7727272727272727,Microtubule stabilizers,epothilone B,1.0,Week1_22381
image_10339,Microtubule stabilizers,26,21.692962646484375,1421670.0,1774.5569731807336,8219,0.1254119873046875,0.000396728515625,3.96728515625,275.1346130371094,258.36553955078125,171.25,99.5,310.25,0.07692307692307693,0.19230769230769232,0.7307692307692307,Microtubule stabilizers,epothilone B,1.0,Week1_22381
image_10340,Microtubule stabilizers,31,22.040390014648438,1444439.0,1633.202760126209,8916,0.13604736328125,0.0004730224609375,4.730224609375,253.0483856201172,201.6077423095703,180.5,105.0,343.0,0.03225806451612903,0.1935483870967742,0.7741935483870968,Microtubule stabilizers,epothilone B,1.0,Week1_22401
image_10341,Microtubule stabilizers,26,23.583145141601562,1545545.0,1947.6410971393343,8784,0.134033203125,0.000396728515625,3.96728515625,297.9038391113281,243.00091552734375,261.0,174.375,330.25,0.038461538461538464,0.07692307692307693,0.8846153846153846,Microtubule stabilizers,epothilone B,1.0,Week1_22401
image_10342,Microtubule stabilizers,31,28.337265014648438,1857111.0,2054.242621328449,11351,0.1732025146484375,0.0004730224609375,4.730224609375,321.2257995605469,263.7197570800781,279.0,110.5,447.75,0.06451612903225806,0.0967741935483871,0.8387096774193549,Microtubule stabilizers,epothilone B,1.0,Week1_22401
image_10343,Microtubule stabilizers,34,31.341690063476562,2054009.0,2269.5170217042323,10564,0.16119384765625,0.000518798828125,5.18798828125,273.2794189453125,294.34552001953125,176.0,74.875,348.625,0.058823529411764705,0.2647058823529412,0.6764705882352942,Microtubule stabilizers,epothilone B,1.0,Week1_22401
image_10416,Microtubule stabilizers,18,19.620269775390625,1285834.0,1257.9313664799556,7189,0.1096954345703125,0.000274658203125,2.74658203125,351.77777099609375,428.7501525878906,161.5,107.625,318.875,0.05555555555555555,0.1111111111111111,0.8333333333333334,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10417,Microtubule stabilizers,19,14.23699951171875,933036.0,1091.801710870117,5452,0.08319091796875,0.0002899169921875,2.899169921875,250.1842041015625,181.8408966064453,198.5,118.0,329.25,0.0,0.2631578947368421,0.7368421052631579,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10418,Microtubule stabilizers,30,21.09185791015625,1382276.0,1500.312668081373,9311,0.1420745849609375,0.000457763671875,4.57763671875,273.29998779296875,188.03175354003906,239.5,129.25,383.5,0.03333333333333333,0.16666666666666666,0.8,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10419,Microtubule stabilizers,35,27.186965942382812,1781725.0,2136.495393467834,11109,0.1695098876953125,0.0005340576171875,5.340576171875,277.0142822265625,300.2594909667969,133.5,80.75,380.25,0.08571428571428572,0.2571428571428571,0.6571428571428571,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10420,Microtubule stabilizers,21,13.1385498046875,861048.0,922.7663874477148,5636,0.08599853515625,0.0003204345703125,3.204345703125,233.6666717529297,216.5308380126953,181.5,100.5,239.0,0.0,0.23809523809523808,0.7619047619047619,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10421,Microtubule stabilizers,23,17.298507690429688,1133675.0,1396.9679762886371,6665,0.1016998291015625,0.0003509521484375,3.509521484375,253.1086883544922,192.0606689453125,180.5,83.0,361.0,0.0,0.30434782608695654,0.6956521739130435,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10422,Microtubule stabilizers,21,20.117507934570312,1318421.0,1485.5255748198833,8709,0.1328887939453125,0.0003204345703125,3.204345703125,367.0714416503906,328.6655578613281,206.5,149.0,472.5,0.047619047619047616,0.09523809523809523,0.8571428571428571,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10423,Microtubule stabilizers,22,17.682083129882812,1158813.0,1344.168261749437,7553,0.1152496337890625,0.000335693359375,3.35693359375,299.93182373046875,239.84201049804688,220.25,135.375,408.75,0.0,0.22727272727272727,0.7727272727272727,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10424,Microtubule stabilizers,23,23.978302001953125,1571442.0,1713.3202689429745,7677,0.1171417236328125,0.0003509521484375,3.509521484375,290.65216064453125,361.87615966796875,156.5,82.75,306.75,0.0,0.34782608695652173,0.6521739130434783,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10425,Microtubule stabilizers,17,14.743484497070312,966229.0,1123.2563586102333,5327,0.0812835693359375,0.0002593994140625,2.593994140625,271.6764831542969,262.08270263671875,168.0,103.0,336.0,0.0,0.23529411764705882,0.7647058823529411,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10426,Microtubule stabilizers,24,17.256515502929688,1130923.0,1272.6346545086708,7085,0.1081085205078125,0.0003662109375,3.662109375,258.7291564941406,256.4800720214844,180.0,133.75,316.25,0.0,0.16666666666666666,0.8333333333333334,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10427,Microtubule stabilizers,19,14.728363037109375,965238.0,1025.6904345517978,6157,0.0939483642578125,0.0002899169921875,2.899169921875,283.6842041015625,245.1483612060547,225.0,93.25,341.5,0.0,0.2631578947368421,0.7368421052631579,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10428,Microtubule stabilizers,30,28.097915649414062,1841425.0,1947.2358806652483,10257,0.1565093994140625,0.000457763671875,4.57763671875,296.45001220703125,273.1846618652344,225.5,96.375,368.25,0.06666666666666667,0.23333333333333334,0.7,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10429,Microtubule stabilizers,29,20.692245483398438,1356087.0,1557.316831957316,8053,0.1228790283203125,0.0004425048828125,4.425048828125,241.34483337402344,190.81024169921875,186.0,141.5,262.5,0.0,0.10344827586206896,0.896551724137931,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10430,Microtubule stabilizers,22,13.463973999023438,882375.0,884.0940695588943,4610,0.070343017578125,0.000335693359375,3.35693359375,182.02272033691406,130.0473175048828,137.0,81.125,256.0,0.0,0.36363636363636365,0.6363636363636364,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10431,Microtubule stabilizers,26,23.465576171875,1537840.0,1758.6693472266197,7561,0.1153717041015625,0.000396728515625,3.96728515625,253.76922607421875,205.4607391357422,205.5,94.625,311.0,0.0,0.2692307692307692,0.7307692307692307,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10432,Microtubule stabilizers,21,23.647857666015625,1549786.0,1705.8327218508348,7332,0.11187744140625,0.0003204345703125,3.204345703125,307.8571472167969,213.61212158203125,286.5,129.0,327.0,0.0,0.047619047619047616,0.9523809523809523,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10433,Microtubule stabilizers,18,17.963729858398438,1177271.0,1503.4142575969454,6785,0.1035308837890625,0.000274658203125,2.74658203125,331.5,200.8520050048828,323.25,161.375,460.625,0.0,0.16666666666666666,0.8333333333333334,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10434,Microtubule stabilizers,26,31.979263305664062,2095793.0,2388.507641888922,9364,0.14288330078125,0.000396728515625,3.96728515625,316.2115478515625,249.96438598632812,247.75,140.875,367.5,0.0,0.07692307692307693,0.9230769230769231,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10435,Microtubule stabilizers,20,16.461593627929688,1078827.0,1172.2570698724594,5512,0.0841064453125,0.00030517578125,3.0517578125,240.02499389648438,242.50296020507812,161.25,75.75,278.0,0.05,0.25,0.7,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10436,Microtubule stabilizers,18,16.8131103515625,1101864.0,1178.8865505307913,5869,0.0895538330078125,0.000274658203125,2.74658203125,285.9444580078125,138.5248565673828,235.0,181.375,367.25,0.0,0.0,1.0,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10437,Microtubule stabilizers,19,12.17626953125,797984.0,830.0135457515717,5355,0.0817108154296875,0.0002899169921875,2.899169921875,247.76315307617188,180.8350830078125,204.5,113.5,277.75,0.0,0.15789473684210525,0.8421052631578947,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10438,Microtubule stabilizers,24,24.610870361328125,1612898.0,1938.1460939934477,8779,0.1339569091796875,0.0003662109375,3.662109375,321.9791564941406,422.5692138671875,177.75,87.5,300.25,0.125,0.25,0.625,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10439,Microtubule stabilizers,25,20.700942993164062,1356657.0,1511.617733485764,9099,0.1388397216796875,0.0003814697265625,3.814697265625,317.5199890136719,196.54849243164062,269.0,184.0,357.0,0.0,0.04,0.96,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10440,Microtubule stabilizers,35,33.29368591308594,2181935.0,2413.4588077885564,13880,0.2117919921875,0.0005340576171875,5.340576171875,350.0428466796875,373.8481750488281,202.5,105.75,443.0,0.0,0.2,0.8,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10441,Microtubule stabilizers,29,26.725906372070312,1751509.0,1822.3214638696518,10455,0.1595306396484375,0.0004425048828125,4.425048828125,318.7069091796875,231.5702667236328,231.0,167.5,412.5,0.0,0.034482758620689655,0.9655172413793104,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10442,Microtubule stabilizers,29,21.370361328125,1400528.0,1632.6868070960045,9271,0.1414642333984375,0.0004425048828125,4.425048828125,279.5,227.0988006591797,225.0,120.0,329.5,0.034482758620689655,0.1724137931034483,0.7931034482758621,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10443,Microtubule stabilizers,26,21.127487182617188,1384611.0,1566.9373450407293,8051,0.1228485107421875,0.000396728515625,3.96728515625,269.48077392578125,232.69418334960938,182.75,68.625,499.125,0.0,0.38461538461538464,0.6153846153846154,Microtubule stabilizers,taxol,0.3,Week1_22123
image_10444,Microtubule stabilizers,26,23.0126953125,1508160.0,1755.609824180603,9631,0.1469573974609375,0.000396728515625,3.96728515625,325.1538391113281,313.0003662109375,248.5,132.375,389.5,0.038461538461538464,0.11538461538461539,0.8461538461538461,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10445,Microtubule stabilizers,19,14.949386596679688,979723.0,1023.6022509054746,6475,0.0988006591796875,0.0002899169921875,2.899169921875,300.52630615234375,194.25027465820312,250.5,142.25,364.0,0.0,0.0,1.0,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10446,Microtubule stabilizers,27,27.813720703125,1822800.0,2062.1022323966026,12420,0.18951416015625,0.0004119873046875,4.119873046875,406.59259033203125,325.1803283691406,304.5,129.75,653.25,0.037037037037037035,0.07407407407407407,0.8888888888888888,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10447,Microtubule stabilizers,27,19.82452392578125,1299220.0,1363.3700870536268,7526,0.114837646484375,0.0004119873046875,4.119873046875,244.48147583007812,230.90625,177.5,84.25,295.25,0.037037037037037035,0.25925925925925924,0.7037037037037037,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10448,Microtubule stabilizers,23,23.820541381835938,1561103.0,1789.4155332518276,9712,0.148193359375,0.0003509521484375,3.509521484375,370.0652160644531,362.5837097167969,242.0,184.25,365.25,0.043478260869565216,0.08695652173913043,0.8695652173913043,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10449,Microtubule stabilizers,25,22.403533935546875,1468238.0,1718.5057394644246,9318,0.142181396484375,0.0003814697265625,3.814697265625,327.1400146484375,252.40196228027344,265.0,126.5,557.0,0.04,0.16,0.8,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10450,Microtubule stabilizers,36,24.454330444335938,1602639.0,1683.1041459811386,11506,0.175567626953125,0.00054931640625,5.4931640625,278.7916564941406,303.1236877441406,230.5,109.0,310.0,0.05555555555555555,0.16666666666666666,0.7777777777777778,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10451,Microtubule stabilizers,33,29.778152465820312,1951541.0,2151.2560052291956,11825,0.1804351806640625,0.0005035400390625,5.035400390625,311.1515197753906,311.32489013671875,221.5,97.5,382.5,0.030303030303030304,0.24242424242424243,0.7272727272727273,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10452,Microtubule stabilizers,21,14.947662353515625,979610.0,979.6459118938074,5404,0.08245849609375,0.0003204345703125,3.204345703125,224.85714721679688,120.1148452758789,217.0,146.5,248.0,0.0,0.14285714285714285,0.8571428571428571,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10453,Microtubule stabilizers,29,24.380661010742188,1597811.0,1884.3333839380648,9909,0.1511993408203125,0.0004425048828125,4.425048828125,297.24139404296875,251.6437530517578,240.5,130.0,398.0,0.0,0.20689655172413793,0.7931034482758621,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10454,Microtubule stabilizers,34,27.197006225585938,1782383.0,1812.738669626182,10608,0.161865234375,0.000518798828125,5.18798828125,272.20587158203125,261.8141784667969,208.0,107.375,303.0,0.029411764705882353,0.20588235294117646,0.7647058823529411,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10455,Microtubule stabilizers,22,23.01519775390625,1508324.0,1865.74189549312,9149,0.1396026611328125,0.000335693359375,3.35693359375,365.2272644042969,266.1781921386719,303.25,181.375,451.0,0.0,0.09090909090909091,0.9090909090909091,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10456,Microtubule stabilizers,26,17.278594970703125,1132370.0,1229.3788057407364,7621,0.1162872314453125,0.000396728515625,3.96728515625,255.15383911132812,181.1346435546875,223.0,136.25,324.875,0.0,0.19230769230769232,0.8076923076923077,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10457,Microtubule stabilizers,23,23.6461181640625,1549672.0,1859.2542232125998,6232,0.0950927734375,0.0003509521484375,3.509521484375,236.21739196777344,136.4335174560547,215.0,137.75,355.5,0.08695652173913043,0.13043478260869565,0.782608695652174,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10458,Microtubule stabilizers,29,20.083053588867188,1316163.0,1406.1331014910247,8813,0.1344757080078125,0.0004425048828125,4.425048828125,265.39654541015625,201.2173614501953,231.0,112.0,318.5,0.034482758620689655,0.20689655172413793,0.7586206896551724,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10459,Microtubule stabilizers,23,16.337921142578125,1070722.0,1161.974035619758,7224,0.1102294921875,0.0003509521484375,3.509521484375,274.10870361328125,225.17625427246094,204.5,160.75,371.0,0.0,0.21739130434782608,0.782608695652174,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10460,Microtubule stabilizers,18,17.094314575195312,1120293.0,1319.4966131837573,6989,0.1066436767578125,0.000274658203125,2.74658203125,344.22222900390625,379.6989440917969,225.25,133.625,427.5,0.0,0.16666666666666666,0.8333333333333334,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10461,Microtubule stabilizers,27,21.0244140625,1377856.0,1431.6193685531616,8544,0.13037109375,0.0004119873046875,4.119873046875,275.6666564941406,201.14874267578125,216.5,132.0,337.75,0.0,0.07407407407407407,0.9259259259259259,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10462,Microtubule stabilizers,30,29.774871826171875,1951326.0,2020.8449777057394,12032,0.18359375,0.000457763671875,4.57763671875,355.1166687011719,311.3505554199219,279.5,123.0,465.75,0.03333333333333333,0.16666666666666666,0.8,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10463,Microtubule stabilizers,30,23.28985595703125,1526324.0,1887.7666304968297,9360,0.142822265625,0.000457763671875,4.57763671875,272.79998779296875,183.79705810546875,242.75,100.0,415.0,0.03333333333333333,0.2,0.7666666666666667,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10464,Microtubule stabilizers,33,27.267257690429688,1786987.0,1644.6571347282734,11585,0.1767730712890625,0.0005035400390625,5.035400390625,306.0909118652344,272.7229919433594,233.5,139.0,352.0,0.06060606060606061,0.15151515151515152,0.7878787878787878,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10465,Microtubule stabilizers,28,23.274261474609375,1525302.0,1645.872504032217,10392,0.1585693359375,0.00042724609375,4.2724609375,328.58929443359375,305.77911376953125,199.25,140.875,372.75,0.03571428571428571,0.07142857142857142,0.8928571428571429,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10466,Microtubule stabilizers,21,18.932785034179688,1240779.0,1211.8932940380182,7318,0.111663818359375,0.0003204345703125,3.204345703125,302.9047546386719,307.84027099609375,178.0,118.0,389.0,0.0,0.23809523809523808,0.7619047619047619,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10467,Microtubule stabilizers,27,21.673599243164062,1420401.0,1656.3069909883197,9427,0.1438446044921875,0.0004119873046875,4.119873046875,308.8148193359375,240.58193969726562,252.5,155.25,356.5,0.037037037037037035,0.18518518518518517,0.7777777777777778,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10468,Microtubule stabilizers,30,18.86578369140625,1236388.0,1270.1346654258668,7479,0.1141204833984375,0.000457763671875,4.57763671875,216.0,160.8844757080078,154.0,114.625,255.75,0.0,0.2,0.8,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10469,Microtubule stabilizers,32,27.195404052734375,1782278.0,1997.535578242503,11766,0.179534912109375,0.00048828125,4.8828125,320.140625,285.5744323730469,260.0,90.0,441.875,0.0625,0.21875,0.71875,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10470,Microtubule stabilizers,26,20.93505859375,1372000.0,1397.1148011684418,8307,0.1267547607421875,0.000396728515625,3.96728515625,280.19232177734375,189.74290466308594,257.75,121.125,404.5,0.0,0.11538461538461539,0.8846153846153846,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10471,Microtubule stabilizers,30,22.449676513671875,1471262.0,1617.770935564302,9151,0.1396331787109375,0.000457763671875,4.57763671875,269.45001220703125,235.23513793945312,230.75,96.5,348.0,0.1,0.16666666666666666,0.7333333333333333,Microtubule stabilizers,taxol,0.3,Week1_22141
image_10472,Microtubule stabilizers,23,17.537689208984375,1149350.0,1442.6932206368074,6555,0.1000213623046875,0.0003509521484375,3.509521484375,249.21739196777344,196.67440795898438,196.5,144.0,259.25,0.043478260869565216,0.13043478260869565,0.8260869565217391,Microtubule stabilizers,taxol,0.3,Week1_22161
image_10473,Microtubule stabilizers,25,26.939743041992188,1765523.0,2277.0227515453007,10475,0.1598358154296875,0.0003814697265625,3.814697265625,371.9599914550781,344.8329772949219,290.0,98.5,543.5,0.0,0.28,0.72,Microtubule stabilizers,taxol,0.3,Week1_22161
